model,train_cleaning,test_cleaning,score,train_test_split
gbr_0_0,delete,delete,0.45356932861507315,0
gbr_0_1,mode,delete,0.45416153071004395,0
gbr_0_4,dummy,delete,0.4534392350997689,0
gbr_0_0,delete,mode,0.4735149058754541,0
gbr_0_1,mode,mode,0.4770904679588922,0
gbr_0_4,dummy,mode,0.4728746873303775,0
gbr_0_0,delete,dummy,0.47713263801880046,0
gbr_0_1,mode,dummy,0.479189355315239,0
gbr_0_4,dummy,dummy,0.4834378214726194,0
gbr_1_0,delete,delete,0.45067529273784945,1
gbr_1_1,mode,delete,0.44717082678175335,1
gbr_1_4,dummy,delete,0.44837553555315324,1
gbr_1_0,delete,mode,0.4673494171832434,1
gbr_1_1,mode,mode,0.4705209295757924,1
gbr_1_4,dummy,mode,0.4659267083003361,1
gbr_1_0,delete,dummy,0.47012483213935197,1
gbr_1_1,mode,dummy,0.46891066307075024,1
gbr_1_4,dummy,dummy,0.475922853359669,1
gbr_2_0,delete,delete,0.4303153244374117,2
gbr_2_1,mode,delete,0.42687935000068533,2
gbr_2_4,dummy,delete,0.43093568587752484,2
gbr_2_0,delete,mode,0.45278098018121904,2
gbr_2_1,mode,mode,0.4488752680659215,2
gbr_2_4,dummy,mode,0.4521752668120469,2
gbr_2_0,delete,dummy,0.4533095590963897,2
gbr_2_1,mode,dummy,0.449736898720309,2
gbr_2_4,dummy,dummy,0.4617098351580122,2
gbr_3_0,delete,delete,0.4363930208788763,3
gbr_3_1,mode,delete,0.43626148721638836,3
gbr_3_4,dummy,delete,0.43556980544233503,3
gbr_3_0,delete,mode,0.4629569479926211,3
gbr_3_1,mode,mode,0.46677265888783304,3
gbr_3_4,dummy,mode,0.46453937819006264,3
gbr_3_0,delete,dummy,0.4659864496217987,3
gbr_3_1,mode,dummy,0.4683361695737649,3
gbr_3_4,dummy,dummy,0.4738614268939838,3
gbr_4_0,delete,delete,0.4489171014621731,4
gbr_4_1,mode,delete,0.4479896279465422,4
gbr_4_4,dummy,delete,0.4462705465205642,4
gbr_4_0,delete,mode,0.46979099817689995,4
gbr_4_1,mode,mode,0.47120813145800544,4
