model,train_cleaning,test_cleaning,score,train_test_split
rfr_0_0,delete,delete,0.44178638391766223,0
rfr_0_1,mode,delete,0.44226221373731345,0
rfr_0_4,dummy,delete,0.44317985999706067,0
rfr_0_0,delete,mode,0.46195876073285025,0
rfr_0_1,mode,mode,0.4643521158347166,0
rfr_0_4,dummy,mode,0.46336565225778825,0
rfr_0_0,delete,dummy,0.46466619454680813,0
rfr_0_1,mode,dummy,0.4665010173747024,0
rfr_0_4,dummy,dummy,0.47648736109982115,0
rfr_1_0,delete,delete,0.4302793074947203,1
rfr_1_1,mode,delete,0.42916068068375834,1
rfr_1_4,dummy,delete,0.4327612833903337,1
rfr_1_0,delete,mode,0.44886543517256383,1
rfr_1_1,mode,mode,0.4565677696023204,1
rfr_1_4,dummy,mode,0.4510810419789476,1
rfr_1_0,delete,dummy,0.4511486958683447,1
rfr_1_1,mode,dummy,0.4498736442387914,1
rfr_1_4,dummy,dummy,0.4629603267451049,1
rfr_2_0,delete,delete,0.4163189639867939,2
rfr_2_1,mode,delete,0.413452587792672,2
rfr_2_4,dummy,delete,0.4154673031212348,2
rfr_2_0,delete,mode,0.43879239685433524,2
rfr_2_1,mode,mode,0.4361684418823416,2
rfr_2_4,dummy,mode,0.438263643053437,2
rfr_2_0,delete,dummy,0.4397292826364575,2
rfr_2_1,mode,dummy,0.43711149285646433,2
rfr_2_4,dummy,dummy,0.4489231022401641,2
rfr_3_0,delete,delete,0.42437234319919925,3
rfr_3_1,mode,delete,0.4210427190340372,3
rfr_3_4,dummy,delete,0.4235169287293964,3
rfr_3_0,delete,mode,0.45005894840872085,3
rfr_3_1,mode,mode,0.44915672747274793,3
rfr_3_4,dummy,mode,0.44973007064547066,3
rfr_3_0,delete,dummy,0.45481689095760225,3
rfr_3_1,mode,dummy,0.45233658014115263,3
rfr_3_4,dummy,dummy,0.46126850607786674,3
rfr_4_0,delete,delete,0.4290939090164907,4
rfr_4_1,mode,delete,0.4274577228386628,4
rfr_4_4,dummy,delete,0.4278728437148578,4
rfr_4_0,delete,mode,0.4488977945313456,4
rfr_4_1,mode,mode,0.4497220260062651,4
rfr_4_4,dummy,mode,0.4476368811595517,4
rfr_4_0,delete,dummy,0.45357342123388655,4
rfr_4_1,mode,dummy,0.4526116573304293,4
rfr_4_4,dummy,dummy,0.4580934448498418,4
rfr_5_0,delete,delete,0.4351645865285788,5
rfr_5_1,mode,delete,0.4357179666069918,5
rfr_5_4,dummy,delete,0.4370968636055358,5
rfr_5_0,delete,mode,0.4553223115767523,5
rfr_5_1,mode,mode,0.4582789527090374,5
rfr_5_4,dummy,mode,0.457249060985057,5
rfr_5_0,delete,dummy,0.460332898849827,5
rfr_5_1,mode,dummy,0.46136052410886685,5
rfr_5_4,dummy,dummy,0.4717415489643053,5
rfr_6_0,delete,delete,0.4283480602665566,6
rfr_6_1,mode,delete,0.4277747551994846,6
rfr_6_4,dummy,delete,0.4280189551074388,6
rfr_6_0,delete,mode,0.4484850173534495,6
rfr_6_1,mode,mode,0.4494245394170283,6
rfr_6_4,dummy,mode,0.44868564215888196,6
rfr_6_0,delete,dummy,0.4524733904093696,6
rfr_6_1,mode,dummy,0.45249264649120036,6
rfr_6_4,dummy,dummy,0.46036329860367364,6
rfr_7_0,delete,delete,0.43941534091540513,7
rfr_7_1,mode,delete,0.43747950982354844,7
rfr_7_4,dummy,delete,0.4393168266874624,7
rfr_7_0,delete,mode,0.45358579378135555,7
rfr_7_1,mode,mode,0.45276921673585535,7
rfr_7_4,dummy,mode,0.4526602938574297,7
rfr_7_0,delete,dummy,0.45861007130038745,7
rfr_7_1,mode,dummy,0.457540969123612,7
rfr_7_4,dummy,dummy,0.46743449441054674,7
rfr_8_0,delete,delete,0.43903101865650285,8
rfr_8_1,mode,delete,0.43752185293410384,8
rfr_8_4,dummy,delete,0.43923489984303543,8
rfr_8_0,delete,mode,0.45911693208670823,8
rfr_8_1,mode,mode,0.4601979319944667,8
rfr_8_4,dummy,mode,0.46020629147698167,8
rfr_8_0,delete,dummy,0.4628390188731272,8
rfr_8_1,mode,dummy,0.46228679328357636,8
rfr_8_4,dummy,dummy,0.4710099760694123,8
rfr_9_0,delete,delete,0.44494721224079636,9
rfr_9_1,mode,delete,0.44538340629589757,9
rfr_9_4,dummy,delete,0.4464198651514045,9
rfr_9_0,delete,mode,0.4661754764773832,9
rfr_9_1,mode,mode,0.4681359102154785,9
rfr_9_4,dummy,mode,0.46741754260059376,9
rfr_9_0,delete,dummy,0.4730663215007054,9
rfr_9_1,mode,dummy,0.4733145588841411,9
rfr_9_4,dummy,dummy,0.48020376366942075,9
rfr_10_0,delete,delete,0.4251475366435755,10
rfr_10_1,mode,delete,0.42542992963013726,10
rfr_10_4,dummy,delete,0.4263975960437085,10
rfr_10_0,delete,mode,0.447847899332358,10
rfr_10_1,mode,mode,0.44912881307301367,10
rfr_10_4,dummy,mode,0.44870391643353935,10
rfr_10_0,delete,dummy,0.4536755555083426,10
rfr_10_1,mode,dummy,0.45432440823394016,10
rfr_10_4,dummy,dummy,0.462135227980518,10
rfr_11_0,delete,delete,0.43256058306337186,11
rfr_11_1,mode,delete,0.4312175861639441,11
rfr_11_4,dummy,delete,0.43330165506839846,11
rfr_11_0,delete,mode,0.45365912267064357,11
rfr_11_1,mode,mode,0.45538324650527784,11
rfr_11_4,dummy,mode,0.45419218353350566,11
rfr_11_0,delete,dummy,0.45463332162271386,11
rfr_11_1,mode,dummy,0.45455136844648125,11
rfr_11_4,dummy,dummy,0.46375029040817484,11
rfr_12_0,delete,delete,0.43507123061252406,12
rfr_12_1,mode,delete,0.4341551899757464,12
rfr_12_4,dummy,delete,0.43600018926128203,12
rfr_12_0,delete,mode,0.4581917159032378,12
rfr_12_1,mode,mode,0.4598062649600666,12
rfr_12_4,dummy,mode,0.45912240160222695,12
rfr_12_0,delete,dummy,0.4597115539697698,12
rfr_12_1,mode,dummy,0.45920141041655393,12
rfr_12_4,dummy,dummy,0.4682286274853018,12
rfr_13_0,delete,delete,0.4345053183641834,13
rfr_13_1,mode,delete,0.43411393471059045,13
rfr_13_4,dummy,delete,0.4350844117650505,13
rfr_13_0,delete,mode,0.4556671045122189,13
rfr_13_1,mode,mode,0.4650078106363176,13
rfr_13_4,dummy,mode,0.45664500785152506,13
rfr_13_0,delete,dummy,0.4610524354687251,13
rfr_13_1,mode,dummy,0.460805929825704,13
rfr_13_4,dummy,dummy,0.4709263181211044,13
rfr_14_0,delete,delete,0.41745346130361416,14
rfr_14_1,mode,delete,0.4190681977066627,14
rfr_14_4,dummy,delete,0.417407787438967,14
rfr_14_0,delete,mode,0.43964493974930596,14
rfr_14_1,mode,mode,0.44298547769889485,14
rfr_14_4,dummy,mode,0.4398400815149166,14
rfr_14_0,delete,dummy,0.4458648480531636,14
rfr_14_1,mode,dummy,0.44696616349182994,14
rfr_14_4,dummy,dummy,0.4555635785337808,14
rfr_15_0,delete,delete,0.4529153748970596,15
rfr_15_1,mode,delete,0.45341298024865717,15
rfr_15_4,dummy,delete,0.45418150631752097,15
rfr_15_0,delete,mode,0.47053268798476733,15
rfr_15_1,mode,mode,0.47910372050003447,15
rfr_15_4,dummy,mode,0.47191581675223715,15
rfr_15_0,delete,dummy,0.4751147175887809,15
rfr_15_1,mode,dummy,0.4757015061247213,15
rfr_15_4,dummy,dummy,0.48571507879223463,15
rfr_16_0,delete,delete,0.4426750284418479,16
rfr_16_1,mode,delete,0.4408237117627395,16
rfr_16_4,dummy,delete,0.4434495131580213,16
rfr_16_0,delete,mode,0.46319935090454645,16
rfr_16_1,mode,mode,0.46185783724283813,16
rfr_16_4,dummy,mode,0.4636521176017997,16
rfr_16_0,delete,dummy,0.4663659141782164,16
rfr_16_1,mode,dummy,0.46375802293207424,16
rfr_16_4,dummy,dummy,0.4751760534119521,16
rfr_17_0,delete,delete,0.4141324002778939,17
rfr_17_1,mode,delete,0.4144371778890681,17
rfr_17_4,dummy,delete,0.41456733403852264,17
rfr_17_0,delete,mode,0.43271698289820326,17
rfr_17_1,mode,mode,0.4351537875175484,17
rfr_17_4,dummy,mode,0.43314304286865246,17
rfr_17_0,delete,dummy,0.43634502370462525,17
rfr_17_1,mode,dummy,0.43837739000986453,17
rfr_17_4,dummy,dummy,0.44872353135237186,17
rfr_18_0,delete,delete,0.4383973182121129,18
rfr_18_1,mode,delete,0.4370430279522638,18
rfr_18_4,dummy,delete,0.43956424232802505,18
rfr_18_0,delete,mode,0.4535437508718132,18
rfr_18_1,mode,mode,0.4541219478979256,18
rfr_18_4,dummy,mode,0.45464362657341584,18
rfr_18_0,delete,dummy,0.45705219365452443,18
rfr_18_1,mode,dummy,0.4563663680470267,18
rfr_18_4,dummy,dummy,0.46679289332282137,18
rfr_19_0,delete,delete,0.43525927373222106,19
rfr_19_1,mode,delete,0.4333783011973399,19
rfr_19_4,dummy,delete,0.43570943955619534,19
rfr_19_0,delete,mode,0.457373320439628,19
rfr_19_1,mode,mode,0.46472772636726345,19
rfr_19_4,dummy,mode,0.45815317924036925,19
rfr_19_0,delete,dummy,0.46168281465350736,19
rfr_19_1,mode,dummy,0.4602798469599071,19
rfr_19_4,dummy,dummy,0.4711058754974683,19
