model,train_cleaning,test_cleaning,score,train_test_split
xgb_0_0,delete,delete,0.45690261479288163,0
xgb_0_1,mode,delete,0.4565437360695742,0
xgb_0_4,dummy,delete,0.45666865828115966,0
xgb_0_0,delete,mode,0.47761118291462257,0
xgb_0_1,mode,mode,0.47989175366651016,0
xgb_0_4,dummy,mode,0.47671630032120516,0
xgb_0_0,delete,dummy,0.48138760834994154,0
xgb_0_1,mode,dummy,0.4818713078024799,0
xgb_0_4,dummy,dummy,0.48915045262899015,0
xgb_1_0,delete,delete,0.4459403690878285,1
xgb_1_1,mode,delete,0.44778671047811325,1
xgb_1_4,dummy,delete,0.4471180583688583,1
xgb_1_0,delete,mode,0.46351417950553064,1
xgb_1_1,mode,mode,0.4725460065599131,1
xgb_1_4,dummy,mode,0.46503092421414716,1
xgb_1_0,delete,dummy,0.4670428740111504,1
xgb_1_1,mode,dummy,0.4702009100971841,1
xgb_1_4,dummy,dummy,0.4761596938106364,1
xgb_2_0,delete,delete,0.4317223571988559,2
xgb_2_1,mode,delete,0.42906860246489786,2
xgb_2_4,dummy,delete,0.4328584319464842,2
xgb_2_0,delete,mode,0.45447794901404537,2
xgb_2_1,mode,mode,0.45204016076018305,2
xgb_2_4,dummy,mode,0.4552049865287089,2
xgb_2_0,delete,dummy,0.4546473138096584,2
xgb_2_1,mode,dummy,0.45338991300356546,2
xgb_2_4,dummy,dummy,0.4650923389727638,2
xgb_3_0,delete,delete,0.4389458699899229,3
xgb_3_1,mode,delete,0.4348607256612268,3
xgb_3_4,dummy,delete,0.43593924243529814,3
xgb_3_0,delete,mode,0.4658657409502538,3
xgb_3_1,mode,mode,0.4649061741021505,3
xgb_3_4,dummy,mode,0.46388120588454695,3
xgb_3_0,delete,dummy,0.46920937749992053,3
xgb_3_1,mode,dummy,0.46700106516938944,3
xgb_3_4,dummy,dummy,0.47471615935700473,3
xgb_4_0,delete,delete,0.4456594357977752,4
xgb_4_1,mode,delete,0.4460385768109607,4
xgb_4_4,dummy,delete,0.44626828799306106,4
xgb_4_0,delete,mode,0.46569902610074143,4
xgb_4_1,mode,mode,0.4679875257267406,4
xgb_4_4,dummy,mode,0.46645333649912946,4
xgb_4_0,delete,dummy,0.4692727603916651,4
xgb_4_1,mode,dummy,0.4704386897301426,4
xgb_4_4,dummy,dummy,0.4763330286094065,4
xgb_5_0,delete,delete,0.4504153422894829,5
xgb_5_1,mode,delete,0.4508136316083835,5
